Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,24.5,42.667,32.937,5.345
2,23.9,35.667,29.547,3.768
3,23.3,32.467,27.26,2.878
4,22.867,29.8,25.913,2.1
5,22.2,28.2,24.98,1.87
6,21.867,27.4,24.26,1.708
7,21.633,26.5,23.847,1.532
8,21.1,25.8,23.183,1.459
9,20.667,25.533,22.717,1.46
10,20.033,24.367,22.04,1.306
11,19.6,24.333,21.71,1.43
12,19.267,24.167,21.187,1.456
13,18.6,23.233,20.51,1.414
14,18.367,22.467,20.12,1.298
15,18.067,22.267,19.777,1.262
16,17.8,22.533,19.677,1.444
17,17.467,21.967,19.327,1.374
18,17.233,21.6,18.913,1.353
19,17.1,21.0,18.57,1.224
20,16.633,21.033,18.303,1.3
21,16.3,20.467,17.957,1.242
22,16.233,20.367,17.823,1.343
23,15.9,20.567,17.537,1.49
24,15.367,20.133,17.337,1.421
25,15.333,19.833,17.14,1.415
26,14.933,20.1,16.77,1.555
27,14.733,19.3,16.537,1.403
28,14.6,18.867,16.263,1.295
29,14.467,18.6,16.12,1.261
30,14.367,18.3,15.95,1.244
31,14.2,18.4,15.72,1.317
32,13.933,18.433,15.6,1.366
33,13.667,18.4,15.42,1.439
34,13.3,17.867,15.113,1.385
35,13.033,18.1,15.01,1.541
36,12.833,17.667,14.65,1.471
37,12.667,16.8,14.38,1.297
38,12.367,17.033,14.163,1.394
39,12.333,16.467,13.85,1.308
40,12.033,16.2,13.613,1.27
41,11.867,16.333,13.643,1.401
42,11.7,16.367,13.483,1.438
43,11.633,16.467,13.413,1.5
44,11.367,15.533,13.14,1.321
45,11.167,16.2,13.093,1.491
46,11.067,15.867,12.933,1.476
47,11.033,14.933,12.55,1.232
48,10.667,15.1,12.473,1.362
49,10.567,14.9,12.253,1.358
50,10.567,14.2,12.02,1.178
51,10.467,14.933,12.08,1.42
52,10.533,14.933,11.897,1.37
53,10.333,14.3,11.723,1.273
54,10.2,14.033,11.623,1.245
55,10.0,14.8,11.727,1.471
56,10.067,14.4,11.703,1.372
57,10.0,13.6,11.54,1.163
58,9.933,14.267,11.52,1.35
59,9.833,14.2,11.457,1.355
60,9.767,13.867,11.423,1.313
61,9.533,14.067,11.22,1.417
62,9.267,14.2,11.24,1.522
63,9.233,14.2,11.15,1.524
64,9.267,13.767,10.937,1.421
65,9.1,13.233,10.7,1.247
66,9.033,13.067,10.583,1.278
67,8.967,13.567,10.657,1.439
68,8.867,12.933,10.463,1.306
69,8.8,12.833,10.447,1.272
70,8.833,13.3,10.58,1.425
71,8.867,13.267,10.45,1.389
72,8.8,13.067,10.417,1.348
73,8.667,13.167,10.337,1.404
74,8.6,12.4,10.093,1.234
75,8.567,12.567,10.17,1.297
76,8.6,13.033,10.18,1.45
77,8.5,12.867,9.927,1.379
78,8.267,12.567,9.87,1.393
79,8.167,12.7,9.897,1.503
80,8.167,12.567,9.887,1.438
81,8.2,12.667,9.77,1.386
82,8.167,12.167,9.683,1.334
83,8.133,12.667,9.803,1.441
84,7.967,12.467,9.697,1.42
85,7.867,11.967,9.537,1.308
86,7.967,12.5,9.53,1.454
87,7.867,12.033,9.363,1.364
88,7.833,12.467,9.47,1.43
89,7.967,12.333,9.47,1.344
90,8.067,12.067,9.58,1.301
91,8.0,12.5,9.61,1.406
92,7.933,12.1,9.387,1.289
93,7.7,11.967,9.33,1.329
94,7.7,11.933,9.167,1.384
95,7.7,11.7,9.05,1.307
96,7.533,11.533,8.927,1.256
97,7.533,11.467,8.893,1.236
98,7.433,11.633,8.883,1.357
99,7.5,11.067,8.767,1.163
100,7.567,11.233,8.82,1.207
101,7.6,11.0,8.807,1.118
102,7.633,11.333,8.94,1.217
103,7.567,11.467,8.947,1.268
104,7.467,11.833,9.073,1.399
105,7.233,11.567,8.96,1.352
106,7.367,11.733,8.983,1.404
107,7.267,11.633,8.893,1.405
108,7.167,11.367,8.67,1.338
109,7.2,10.833,8.65,1.208
110,7.267,11.867,8.793,1.427
111,7.133,11.7,8.643,1.446
112,6.933,11.333,8.567,1.337
113,6.9,11.233,8.59,1.348
114,6.967,11.2,8.643,1.336
115,7.1,11.5,8.737,1.356
116,7.067,11.4,8.69,1.387
117,7.0,11.5,8.597,1.418
118,6.733,11.633,8.607,1.53
119,6.667,11.067,8.39,1.39
120,6.767,11.233,8.403,1.394
121,6.7,10.8,8.303,1.291
122,6.6,10.667,8.047,1.267
123,6.633,10.7,8.157,1.295
124,6.7,10.433,8.13,1.239
125,6.767,10.933,8.233,1.312
126,6.8,11.0,8.203,1.38
127,6.767,10.533,8.093,1.224
128,6.733,10.533,8.123,1.278
129,6.7,10.833,8.153,1.344
130,6.7,10.933,8.157,1.335
131,6.6,10.967,8.117,1.345
132,6.667,10.9,8.107,1.361
133,6.633,10.533,8.087,1.278
134,6.667,10.5,8.12,1.226
135,6.533,10.733,7.993,1.289
136,6.533,10.7,8.097,1.313
137,6.433,10.467,8.03,1.261
138,6.467,10.4,8.057,1.229
139,6.467,10.733,8.127,1.387
140,6.433,10.433,7.99,1.262
141,6.5,10.967,8.15,1.402
142,6.4,10.633,8.03,1.372
143,6.3,10.6,7.98,1.345
144,6.433,11.633,8.117,1.628
145,6.333,11.167,8.063,1.482
146,6.433,10.233,7.843,1.197
147,6.5,10.433,8.043,1.296
148,6.467,10.6,8.14,1.342
149,6.333,11.0,8.083,1.439
150,6.433,10.767,8.083,1.378
151,6.367,10.767,8.08,1.339
152,6.433,10.833,8.063,1.38
153,6.433,10.7,8.063,1.365
154,6.467,10.467,8.02,1.307
155,6.433,10.8,8.117,1.407
156,6.633,10.7,8.083,1.352
157,6.567,10.833,8.167,1.458
158,6.5,11.1,8.113,1.467
159,6.533,10.4,7.98,1.272
160,6.5,10.833,7.99,1.369
161,6.467,10.2,7.91,1.203
162,6.367,10.733,7.977,1.333
163,6.333,10.5,7.993,1.317
164,6.467,10.967,8.02,1.398
165,6.533,10.5,7.947,1.243
166,6.567,10.567,8.133,1.302
167,6.4,10.833,8.153,1.404
168,6.5,10.933,8.213,1.445
169,6.467,10.733,8.04,1.371
170,6.433,10.533,7.937,1.308
171,6.533,10.667,8.07,1.285
172,6.567,10.567,8.11,1.286
173,6.6,10.467,8.053,1.285
174,6.467,10.667,8.02,1.319
175,6.433,10.533,8.007,1.338
176,6.333,10.533,7.943,1.327
177,6.367,10.633,7.95,1.354
178,6.433,10.767,7.993,1.347
179,6.333,11.933,8.183,1.679
180,6.433,10.833,8.017,1.455
181,6.333,10.733,8.003,1.433
182,6.267,10.867,8.023,1.465
183,6.267,11.067,8.033,1.539
184,6.267,10.633,7.803,1.392
185,6.167,10.267,7.74,1.3
186,6.067,9.933,7.547,1.194
187,6.0,10.033,7.58,1.296
188,5.933,10.6,7.637,1.458
189,6.1,10.4,7.74,1.412
190,6.2,11.067,7.963,1.549
191,6.3,11.433,8.013,1.57
192,6.333,10.633,7.89,1.41
193,6.233,10.7,7.843,1.439
194,6.167,10.167,7.763,1.296
195,6.267,10.1,7.707,1.246
196,6.2,11.033,7.927,1.463
197,6.2,10.567,7.793,1.428
198,6.233,10.3,7.59,1.349
199,6.167,10.2,7.647,1.326
200,6.233,10.033,7.61,1.266
201,6.167,10.133,7.61,1.323
202,6.2,10.3,7.593,1.301
203,6.133,10.167,7.53,1.334
204,6.1,10.267,7.643,1.33
205,6.0,10.367,7.577,1.381
206,5.867,9.767,7.367,1.248
207,5.767,10.1,7.483,1.433
208,5.767,10.5,7.527,1.498
209,5.767,10.333,7.49,1.467
210,5.8,9.967,7.32,1.354
211,5.8,9.7,7.31,1.273
212,5.667,10.267,7.423,1.445
213,5.8,9.7,7.193,1.287
214,5.8,10.133,7.36,1.433
215,5.767,9.767,7.34,1.315
216,5.7,9.733,7.283,1.321
217,5.667,9.733,7.167,1.272
218,5.667,9.6,7.217,1.296
219,5.8,10.267,7.34,1.442
220,5.733,10.4,7.237,1.467
221,5.733,9.833,7.27,1.32
222,5.733,10.4,7.457,1.446
223,5.767,10.533,7.38,1.493
224,5.6,10.0,7.3,1.405
225,5.533,10.067,7.12,1.458
226,5.467,9.9,7.06,1.396
227,5.267,9.9,7.117,1.473
228,5.367,9.8,6.95,1.381
229,5.3,9.933,7.103,1.418
230,5.533,9.967,7.163,1.446
231,5.533,9.9,7.12,1.434
232,5.4,9.633,6.967,1.373
233,5.333,9.9,7.007,1.421
234,5.367,9.667,6.973,1.406
235,5.333,9.533,6.843,1.361
236,5.3,9.4,6.867,1.311
237,5.3,9.733,6.94,1.436
238,5.133,9.533,6.83,1.396
239,5.233,9.133,6.793,1.256
240,5.367,9.833,6.957,1.392
241,5.3,10.167,7.03,1.532
242,5.367,9.833,7.127,1.428
243,5.3,9.7,7.077,1.35
244,5.433,9.333,6.943,1.285
245,5.467,9.433,6.987,1.291
246,5.433,10.167,7.08,1.482
247,5.433,9.833,7.133,1.397
248,5.5,9.767,7.2,1.38
249,5.5,9.9,7.11,1.403
250,5.5,10.067,7.15,1.476
251,5.367,9.767,7.093,1.489
252,5.433,10.167,7.067,1.498
253,5.5,9.267,6.923,1.214
254,5.533,9.733,7.02,1.338
255,5.4,9.6,6.987,1.305
256,5.6,9.633,7.12,1.309
257,5.633,9.667,7.063,1.286
258,5.633,10.0,7.06,1.413
259,5.533,9.733,7.067,1.311
260,5.6,9.733,7.13,1.341
261,5.533,9.633,7.093,1.292
262,5.667,9.933,7.233,1.307
263,5.733,10.0,7.337,1.359
264,5.7,10.167,7.363,1.404
265,5.867,10.2,7.623,1.419
266,5.8,10.433,7.553,1.463
267,5.733,10.033,7.513,1.428
268,5.833,10.1,7.483,1.331
269,5.733,9.967,7.437,1.396
270,5.667,10.333,7.487,1.437
271,5.767,10.467,7.557,1.504
272,5.833,10.233,7.43,1.462
273,5.9,10.033,7.417,1.382
274,5.9,10.233,7.51,1.389
275,5.833,10.0,7.343,1.313
276,5.733,10.133,7.35,1.372
277,5.8,10.4,7.46,1.423
278,5.833,10.333,7.52,1.41
279,5.8,10.333,7.487,1.46
280,5.8,10.133,7.377,1.376
281,5.7,10.233,7.353,1.439
282,5.733,10.067,7.253,1.364
283,5.733,10.333,7.39,1.438
284,5.7,10.1,7.463,1.451
285,5.7,10.367,7.52,1.486
286,5.7,10.167,7.45,1.385
287,5.667,10.133,7.42,1.419
288,5.667,9.633,7.37,1.301
289,5.7,10.067,7.4,1.412
290,5.767,10.167,7.317,1.374
291,5.8,9.967,7.353,1.38
292,5.8,9.833,7.217,1.296
293,5.8,10.133,7.307,1.356
294,5.867,10.2,7.397,1.419
295,5.833,10.367,7.443,1.469
296,5.9,10.033,7.307,1.39
297,5.9,9.967,7.257,1.333
298,5.9,10.133,7.327,1.378
299,5.833,9.733,7.317,1.289
300,5.9,10.133,7.357,1.343
301,5.967,10.067,7.347,1.311
302,6.033,10.033,7.487,1.325
303,5.9,10.233,7.427,1.357
304,5.867,10.867,7.623,1.558
305,5.867,10.333,7.497,1.448
306,5.867,10.533,7.48,1.489
307,5.8,10.167,7.39,1.364
308,5.833,10.167,7.347,1.363
309,5.8,10.467,7.397,1.466
310,5.867,10.033,7.29,1.307
311,5.933,9.9,7.437,1.317
312,5.867,10.133,7.59,1.369
313,5.9,10.2,7.44,1.367
314,5.867,10.033,7.293,1.31
315,5.833,9.8,7.313,1.319
316,5.8,10.233,7.233,1.361
317,5.833,9.733,7.2,1.236
318,5.9,10.033,7.22,1.322
319,5.833,9.8,7.183,1.333
320,5.867,10.1,7.28,1.343
321,5.867,10.2,7.417,1.368
322,6.0,10.367,7.493,1.413
323,6.033,9.933,7.407,1.265
324,5.9,9.933,7.41,1.249
325,6.033,10.067,7.51,1.272
326,6.067,10.233,7.603,1.35
