Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,21.1,49.467,33.131,5.835
2,21.033,41.867,29.937,4.396
3,20.733,36.667,27.663,3.509
4,20.533,33.033,25.88,2.779
5,20.067,30.467,24.456,2.374
6,19.733,29.067,23.315,2.023
7,18.867,27.5,22.402,1.732
8,18.5,26.1,21.608,1.441
9,17.767,24.7,20.994,1.379
10,17.4,24.333,20.458,1.375
11,16.933,23.633,19.91,1.318
12,16.433,23.2,19.408,1.308
13,16.033,22.8,18.894,1.302
14,15.6,22.267,18.365,1.263
15,15.2,21.667,17.832,1.249
16,14.633,21.133,17.36,1.199
17,14.433,20.867,16.888,1.179
18,14.233,20.0,16.439,1.121
19,13.9,19.4,16.02,1.073
20,13.633,19.3,15.66,1.064
21,13.2,18.567,15.297,1.023
22,12.9,18.467,14.95,1.013
23,12.733,18.133,14.632,0.974
24,12.333,17.733,14.344,0.973
25,12.133,17.5,14.047,0.994
26,11.9,16.9,13.738,0.951
27,11.667,16.767,13.451,0.98
28,11.333,16.367,13.151,0.922
29,11.167,16.3,12.896,0.955
30,10.833,15.833,12.625,0.952
31,10.633,16.167,12.375,0.977
32,10.467,15.4,12.109,0.934
33,10.267,15.3,11.843,0.917
34,10.067,14.8,11.627,0.913
35,9.9,15.167,11.428,0.976
36,9.533,14.533,11.184,0.928
37,9.367,14.4,10.978,0.925
38,9.133,14.133,10.724,0.852
39,8.767,14.333,10.549,0.912
40,8.467,13.567,10.349,0.922
41,8.3,13.367,10.164,0.962
42,8.2,13.4,9.929,0.97
43,8.167,13.333,9.687,0.957
44,7.9,13.067,9.451,0.946
45,7.767,12.767,9.243,0.932
46,7.6,12.733,9.036,0.952
47,7.4,12.5,8.808,0.939
48,7.267,12.167,8.603,0.911
49,7.033,11.7,8.37,0.857
50,6.867,11.5,8.203,0.877
51,6.7,11.6,8.072,0.901
52,6.467,11.033,7.885,0.833
53,6.333,10.967,7.723,0.815
54,6.3,11.367,7.616,0.902
55,6.133,10.967,7.48,0.901
56,6.0,10.633,7.322,0.886
57,5.867,10.633,7.168,0.901
58,5.7,10.6,6.981,0.891
59,5.533,10.333,6.839,0.895
60,5.467,10.0,6.719,0.853
61,5.4,10.367,6.6,0.899
62,5.267,9.933,6.465,0.887
63,5.133,9.567,6.29,0.834
64,4.967,9.467,6.16,0.85
65,4.833,9.367,6.028,0.837
66,4.733,9.533,5.898,0.864
67,4.633,9.433,5.814,0.882
68,4.533,9.033,5.717,0.897
69,4.467,8.867,5.566,0.851
70,4.367,8.967,5.454,0.846
71,4.333,9.067,5.328,0.863
72,4.2,8.567,5.218,0.854
73,4.133,8.267,5.096,0.811
74,4.067,8.233,5.025,0.825
75,3.833,8.833,4.924,0.888
76,3.667,8.267,4.88,0.884
77,3.6,8.033,4.726,0.812
78,3.533,7.7,4.643,0.832
79,3.333,8.1,4.55,0.841
80,3.333,8.067,4.487,0.894
81,3.233,7.867,4.363,0.862
82,3.167,7.533,4.246,0.846
83,3.067,7.467,4.131,0.845
84,3.033,7.567,4.055,0.901
85,2.967,7.2,3.966,0.876
86,3.0,7.467,3.86,0.89
87,2.867,6.867,3.766,0.841
88,2.8,6.833,3.664,0.827
89,2.7,6.833,3.625,0.859
90,2.533,6.833,3.543,0.853
91,2.633,6.8,3.482,0.858
92,2.533,6.833,3.384,0.823
93,2.467,6.6,3.319,0.822
94,2.433,6.6,3.259,0.848
95,2.333,6.333,3.173,0.795
96,2.267,6.7,3.137,0.865
97,2.167,6.467,3.076,0.856
98,2.033,6.167,2.976,0.821
99,2.0,6.3,2.924,0.86
100,1.967,5.967,2.801,0.819
101,1.967,6.233,2.749,0.852
102,1.933,6.3,2.661,0.838
103,1.867,5.933,2.604,0.828
104,1.8,5.767,2.535,0.847
105,1.8,5.767,2.472,0.837
106,1.767,5.8,2.388,0.814
107,1.7,5.6,2.327,0.798
108,1.667,5.533,2.288,0.811
109,1.567,5.533,2.262,0.833
110,1.6,5.767,2.186,0.81
111,1.533,5.367,2.169,0.797
112,1.467,5.567,2.124,0.816
113,1.5,5.2,2.1,0.819
114,1.4,5.433,2.066,0.824
115,1.433,5.467,2.041,0.837
116,1.367,5.567,2.013,0.855
117,1.4,5.3,1.984,0.841
118,1.3,5.167,1.948,0.815
119,1.2,5.1,1.893,0.772
120,1.233,5.433,1.878,0.829
121,1.233,5.167,1.834,0.817
122,1.2,4.9,1.772,0.782
123,1.233,5.233,1.74,0.825
124,1.133,4.767,1.732,0.837
125,1.133,5.1,1.673,0.824
126,1.067,4.867,1.619,0.788
127,1.033,5.067,1.604,0.791
128,1.033,4.967,1.633,0.843
129,1.067,4.567,1.582,0.754
130,1.0,4.867,1.593,0.806
131,0.933,4.967,1.599,0.832
132,0.867,4.733,1.561,0.821
133,0.833,5.1,1.52,0.839
134,0.833,4.9,1.48,0.811
135,0.8,4.833,1.44,0.814
136,0.833,4.8,1.41,0.831
137,0.8,4.667,1.382,0.835
138,0.8,5.1,1.356,0.895
139,0.8,5.033,1.306,0.869
140,0.767,4.333,1.244,0.784
141,0.733,5.067,1.245,0.878
142,0.667,4.733,1.199,0.825
143,0.7,4.433,1.172,0.804
144,0.7,4.467,1.139,0.792
145,0.667,4.7,1.152,0.834
146,0.7,4.667,1.146,0.837
147,0.7,4.5,1.12,0.8
148,0.633,4.367,1.101,0.795
149,0.6,4.2,1.079,0.776
150,0.567,4.533,1.08,0.794
151,0.6,4.3,1.081,0.806
152,0.633,4.333,1.04,0.78
153,0.6,4.567,1.063,0.831
154,0.533,4.6,1.044,0.815
155,0.567,4.133,1.017,0.77
156,0.533,4.533,1.038,0.834
157,0.533,4.333,1.01,0.791
158,0.533,4.233,0.994,0.794
159,0.533,4.633,0.978,0.802
160,0.533,4.633,0.987,0.834
161,0.5,4.033,0.975,0.779
162,0.467,4.367,0.966,0.813
163,0.467,4.133,0.911,0.742
164,0.433,4.267,0.941,0.798
165,0.433,4.233,0.943,0.836
166,0.433,4.367,0.936,0.857
167,0.367,4.233,0.918,0.831
168,0.4,4.333,0.876,0.801
169,0.4,4.033,0.85,0.79
170,0.4,4.067,0.824,0.803
171,0.4,4.3,0.823,0.82
172,0.367,4.0,0.816,0.817
173,0.367,4.067,0.799,0.826
174,0.333,4.167,0.788,0.813
175,0.333,4.467,0.803,0.858
176,0.333,4.233,0.798,0.85
177,0.333,3.633,0.752,0.776
178,0.333,3.967,0.758,0.795
179,0.333,4.233,0.762,0.825
180,0.333,4.067,0.745,0.796
181,0.333,4.233,0.737,0.812
182,0.3,4.1,0.72,0.815
183,0.3,3.833,0.702,0.78
184,0.267,3.667,0.674,0.74
185,0.267,4.167,0.656,0.774
186,0.267,3.7,0.653,0.744
187,0.233,3.967,0.68,0.799
188,0.233,3.9,0.66,0.777
