Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
1,20.433,50.033,33.24,5.842
2,20.233,41.533,29.924,4.457
3,19.967,37.033,27.533,3.605
4,19.533,33.433,25.628,2.881
5,19.4,30.267,24.185,2.373
6,19.0,28.5,23.054,2.047
7,18.5,27.3,22.128,1.727
8,17.733,26.433,21.341,1.593
9,17.433,25.4,20.657,1.428
10,16.733,24.9,20.089,1.35
11,16.533,23.667,19.545,1.267
12,16.1,23.133,19.023,1.228
13,15.733,22.633,18.56,1.175
14,15.567,22.333,18.145,1.155
15,15.067,21.7,17.726,1.119
16,14.433,21.133,17.314,1.135
17,14.167,21.1,16.864,1.143
18,13.833,20.767,16.445,1.139
19,13.5,20.167,16.014,1.116
20,13.233,19.333,15.591,1.063
21,12.9,19.4,15.229,1.109
22,12.667,18.9,14.804,1.086
23,12.3,18.433,14.419,1.065
24,11.933,18.667,14.05,1.073
25,11.733,17.567,13.67,0.982
26,11.467,17.233,13.337,0.968
27,11.133,16.8,13.007,0.93
28,10.967,16.4,12.749,0.909
29,10.5,16.267,12.467,0.911
30,10.3,16.0,12.183,0.918
31,10.133,15.8,11.919,0.918
32,9.9,16.2,11.67,0.953
33,9.833,15.767,11.424,0.955
34,9.633,15.433,11.158,0.928
35,9.5,15.033,10.882,0.877
36,9.3,14.4,10.665,0.831
37,9.1,14.167,10.458,0.834
38,8.933,14.333,10.254,0.875
39,8.8,13.633,10.065,0.827
40,8.7,13.9,9.885,0.847
41,8.567,13.167,9.689,0.746
42,8.433,12.567,9.523,0.705
43,8.267,13.567,9.416,0.822
44,8.1,13.4,9.272,0.803
45,7.967,12.733,9.139,0.773
46,7.633,12.6,9.009,0.808
47,7.533,12.567,8.816,0.796
48,7.433,12.667,8.645,0.781
49,7.433,12.533,8.507,0.808
50,7.1,12.9,8.372,0.855
51,7.033,12.4,8.239,0.852
52,6.967,12.1,8.089,0.819
53,6.833,12.067,7.964,0.859
54,6.733,12.267,7.826,0.874
55,6.667,11.767,7.645,0.811
56,6.467,11.467,7.512,0.773
57,6.333,11.2,7.393,0.79
58,6.3,11.6,7.295,0.811
59,6.1,11.2,7.176,0.827
60,5.9,10.9,7.05,0.811
61,5.833,11.2,6.932,0.845
62,5.667,10.8,6.791,0.813
63,5.533,10.433,6.661,0.776
64,5.5,10.733,6.585,0.862
65,5.4,10.533,6.459,0.822
66,5.3,10.333,6.34,0.79
67,5.267,10.3,6.251,0.804
68,5.133,10.2,6.139,0.803
69,5.067,10.533,6.037,0.839
70,5.0,9.833,5.885,0.815
71,4.833,9.5,5.762,0.771
72,4.7,9.867,5.671,0.813
73,4.633,9.3,5.576,0.758
74,4.467,9.667,5.496,0.807
75,4.433,9.467,5.441,0.806
76,4.4,9.433,5.347,0.822
77,4.3,8.933,5.243,0.805
78,4.267,9.333,5.179,0.861
79,4.133,8.867,5.036,0.798
80,4.1,9.067,4.931,0.805
81,4.067,8.7,4.855,0.807
82,3.867,8.867,4.773,0.798
83,3.8,8.7,4.665,0.77
84,3.733,8.433,4.593,0.759
85,3.667,9.1,4.56,0.854
86,3.6,8.833,4.485,0.823
87,3.533,8.4,4.416,0.821
88,3.5,8.567,4.317,0.816
89,3.467,8.333,4.23,0.794
90,3.367,8.233,4.177,0.837
91,3.333,8.3,4.09,0.84
92,3.3,8.133,3.987,0.823
93,3.267,7.933,3.889,0.775
94,3.267,7.933,3.798,0.756
95,3.133,7.567,3.754,0.79
96,2.967,7.633,3.667,0.747
97,2.9,7.767,3.636,0.79
98,2.9,7.8,3.591,0.787
99,2.9,8.067,3.545,0.79
100,2.833,7.5,3.522,0.778
101,2.8,7.533,3.468,0.774
102,2.767,7.567,3.436,0.802
103,2.7,7.767,3.379,0.841
104,2.733,7.467,3.283,0.804
105,2.567,7.467,3.227,0.812
106,2.433,7.067,3.15,0.775
107,2.433,7.033,3.095,0.775
108,2.3,7.267,3.054,0.823
109,2.3,7.267,2.995,0.822
110,2.233,7.267,2.935,0.82
111,2.267,6.967,2.871,0.816
112,2.233,6.8,2.801,0.81
113,2.2,7.067,2.758,0.863
114,2.133,6.933,2.655,0.778
115,2.033,7.367,2.64,0.859
116,2.033,6.533,2.586,0.792
117,2.033,6.667,2.519,0.745
118,1.967,7.4,2.505,0.82
119,1.8,6.533,2.459,0.735
120,1.767,6.7,2.436,0.796
121,1.7,6.6,2.411,0.797
122,1.633,6.533,2.371,0.823
123,1.633,6.9,2.325,0.851
124,1.667,6.567,2.247,0.822
125,1.6,6.333,2.179,0.8
126,1.5,6.4,2.12,0.825
127,1.467,5.967,2.028,0.752
128,1.4,6.5,2.025,0.85
129,1.4,6.233,1.992,0.836
130,1.367,5.767,1.94,0.784
131,1.4,5.7,1.891,0.766
132,1.4,5.867,1.838,0.767
133,1.4,5.833,1.805,0.774
134,1.4,6.033,1.778,0.781
135,1.333,5.567,1.74,0.738
136,1.3,5.833,1.734,0.769
137,1.233,5.833,1.716,0.778
138,1.267,5.967,1.722,0.825
139,1.267,5.933,1.71,0.811
140,1.267,5.767,1.661,0.781
141,1.2,5.767,1.643,0.79
142,1.133,5.7,1.583,0.759
143,1.133,5.733,1.578,0.782
144,1.133,5.767,1.598,0.843
145,1.133,5.467,1.536,0.786
146,1.133,6.3,1.529,0.857
147,1.133,5.567,1.487,0.77
148,1.067,5.367,1.461,0.742
149,1.033,5.667,1.476,0.809
150,1.067,6.333,1.484,0.897
151,1.033,5.267,1.419,0.749
152,1.0,5.5,1.409,0.778
153,1.0,5.767,1.413,0.828
154,0.867,5.533,1.38,0.786
155,0.8,5.6,1.377,0.818
156,0.8,5.467,1.371,0.827
157,0.767,5.767,1.351,0.832
158,0.767,5.733,1.329,0.856
159,0.767,5.733,1.271,0.836
160,0.767,5.067,1.234,0.786
161,0.767,5.333,1.205,0.83
162,0.767,5.567,1.183,0.852
163,0.733,5.467,1.128,0.811
164,0.733,5.7,1.117,0.87
165,0.733,5.267,1.081,0.823
166,0.733,5.467,1.049,0.803
167,0.733,5.067,1.026,0.758
168,0.733,5.467,1.037,0.82
169,0.733,5.233,1.021,0.804
170,0.7,5.667,1.069,0.901
171,0.733,5.033,1.013,0.787
172,0.733,5.6,1.013,0.823
173,0.7,5.033,0.998,0.773
174,0.667,5.167,1.0,0.786
